Depth,TG,(Rate of Penetration) ROP,(Mud Flow In) MFI ,Mud Flow Out (MFOP),Mud Density In (MDI) ,Mud Density Out (MDO),Bit Diameter (BDIA),Weight on Bit (WOB),Hook Load (HKLD),Stand Pipe Pressure (SPP),Torque (TRQ),Rotation speed (RPM),MTO,MTI,Gamma Ray (GR)
1290,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,110.44
1290.25,0,0,0,0,0,0.064,0,0,0,0,0,0,0.2,0.3,107.34
1290.5,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,108.35
1290.75,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,97.94
1291,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,106.26
1291.25,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,109.69
1291.5,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,107.67
1291.75,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,115.48
1292,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,116.62
1292.25,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,117.13
1292.5,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,112.46
1292.75,0,0,0,0,0,0.064,0,0,0,0,0,0,0.1,0.2,117.86
1293,0,0,0,0,0,0.064,26,5.7,0,0,0,0,0.1,0.2,113.73
1293.25,0,74.1,2428,0,0,0.064,26,5.8,210.5,41.15,3.99,41,0.2,27.4,104.02
1293.5,0,74.1,2428,0,0,0.064,26,6,210.5,41.15,3.99,41,0.1,27.4,95.29
1293.75,0,74.1,2428,0,0,0.064,26,5.2,210.5,41.15,3.99,41,0.1,27.4,76.16
1294,0,74.1,2428,0,0,0.064,26,5.6,210.5,41.15,3.99,41,0.1,27.4,71.46
1294.25,0,74.1,2428,0,0,0.064,26,5.5,210.5,41.15,3.99,41,0.1,27.4,76.33
1294.5,0,74.1,2428,0,0,0.064,26,5.4,210.5,41.15,3.99,41,0.1,27.4,62.71
1294.75,0,74.1,2428,0,0,0.064,26,5.7,210.5,41.15,3.99,41,0.2,27.4,61.29
1295,0,74.1,2428,0,0,0.064,26,5.4,210.5,41.15,3.99,41,0.1,27.4,66.91
1295.25,0,74.1,2428,0,0,0.064,26,5.4,210.5,41.15,3.99,41,0.2,27.4,65.21
1295.5,0,74.1,2428,0,0,0.064,26,6,210.5,41.15,3.99,41,0.2,27.4,67.12
1295.75,0,14.1,2581,0,0,0.064,26,5.9,210.3,51.11,3.52,41,0.1,27.4,64.88
1296,0,14.1,2581,0,0,0.064,26,5.7,210.3,51.11,3.52,41,0.2,27.4,60.32
1296.25,0,14.1,2581,0,0,0.064,26,5.5,210.3,51.11,3.52,41,0.1,27.4,52.59
1296.5,0,14.1,2581,0,0,0.064,26,5.9,210.3,51.11,3.52,41,0.1,27.4,51.43
1296.75,0,14.1,2581,0,0,0.064,26,5.7,210.3,51.11,3.52,41,0.2,27.4,52.45
1297,0,14.1,2581,0,0,0.064,26,5.8,210.3,51.11,3.52,41,0.2,27.4,52.36
1297.25,0,14.1,2581,0,0,0.064,26,5.7,210.3,51.11,3.52,41,0.2,27.4,55.65
1297.5,0,14.1,2581,0,0,0.064,26,5.6,210.3,51.11,3.52,41,0.1,27.4,51.68
1297.75,0,14.1,2581,0,0,0.064,26,5.5,210.3,51.11,3.52,41,0.1,27.4,50.02
1298,0,14.1,2581,0,0,0.064,26,5.3,210.3,51.11,3.52,41,0.1,27.4,55.37
1298.25,0,14.1,2581,0,0,0.064,26,5.2,210.3,51.11,3.52,41,0.1,27.4,58.66
1298.5,0,14.1,2581,0,0,0.064,26,5.6,210.3,51.11,3.52,41,0.1,27.4,62.82
1298.75,0,14.1,2581,0,0,0.064,26,5.4,210.3,51.11,3.52,41,0.1,27.4,65.2
1299,0,14.1,2581,0,0,0.064,26,5.2,210.3,51.11,3.52,41,0.1,27.4,59.09
1299.25,0,14.1,2581,0,0,0.064,26,5.5,210.3,51.11,3.52,41,0.1,27.4,53.91
1299.5,0,14.1,2581,0,0,0.064,26,5.2,210.3,51.11,3.52,41,0.1,27.4,49.54
1299.75,0,14.1,2581,0,0,0.064,26,5.8,210.3,51.11,3.52,41,0.1,27.4,52.33
1300,0,14.1,2581,0,0,0.064,26,5.5,210.3,51.11,3.52,41,0.1,27.4,57.4
1300.25,0,14.1,2581,0,0,0.064,26,5.3,210.3,51.11,3.52,41,0.1,27.4,60.28
1300.5,0,14.1,2581,0,0,0.064,26,5.3,210.3,51.11,3.52,41,0.1,27.4,56.7
1300.75,0,14.1,2581,0,0,0.064,26,5.3,210.3,51.11,3.52,41,0.1,27.4,60.92
1301,0,14.1,2581,0,0,0.064,26,5.8,210.3,51.11,3.52,41,0.1,27.4,68.03
1301.25,0,15.2,2581,0,0,0.064,26,6,210.3,50.97,3.34,41,0.1,27.3,66.43
1301.5,0,13.9,2581,0,0,0.064,26,6,210.3,50.97,3.38,41,0.1,27.3,49.94
1301.75,0,14.6,2581,0,0,0.064,26,5.4,210.2,51.05,3.61,41,0.1,27.3,47.4
1302,0,14.7,2581,0,0,0.064,26,5.4,210.4,50.93,3.28,41,0.1,27.3,60.36
